	가게	주소	테마
0	봄날카페	제주특별자치도 제주시 애월읍 애월로1길 25	"#카페 #커피 #음료
#음식 #콜드브루 #아메리카노 #바닐라라떼 #카페라떼 #아인슈페너 #카푸치노 #카페모카 #카라멜마끼아또 #아이스티"
1	명진전복	제주특별자치도 제주시 구좌읍 해맞이해안로 1282	"#전복 #돌솥밥 #회
#음식 #전복해물탕 #전복죽 #전복뚝배기 #전복버터구이 #전복물회"
2	몽상드애월	제주특별자치도 제주시 애월읍 애월북서길 56-1	"#카페 #커피 #음료
#디저트 #음식 #아메리카노 #에스프레소 #카페모카 #카라멜마끼아또 #밀크티 #에이드"
3	서연의집	제주특별자치도 서귀포시 남원읍 위미해안로 86	"#카페 #커피 #아메리카노
#음식 #디저트 #빵 #와플 #에스프레소 #카페모카"
4	제주김만복	제주특별자치도 제주시 오라로 41	"#전복김밥 #통전복주먹밥 #미역국
#음식 #해물라면 #라면"
5	리치망고	제주특별자치도 제주시 애월읍 애월해안로 272	"#스페셜망고쉐이크 #망고라떼 #수제망고코코넛잽
#망고코코넛쿠키 #카페 #망고 #음식 #망고스무디 #망고에이드 #망고주스"
6	르 쉬느아	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층	"#중국음식 #딤섬 #북경오리
#불도장 #음식 #오리고기 #오리로스"
7	카페공작소	제주특별자치도 제주시 구좌읍 해맞이해안로 1446	"#카페 #수제케이크 #에이드
#제주음료 #음식 #아메리카노 #카페라떼 #감귤 #주스 #청귤차 #에스프레소 #케이크"
8	濟州膳제주선	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38	"#한식 #흑돼지 #한우
#갈치 #고소리술 #음식"
9	하하호호	제주특별자치도 제주시 우도면 우도해안길 532	"#흑돼지수제버거 #수제버거 #땅콩아이스크림
#음식 #햄버거 #아메리카노 #감자튀김 #에이드 #레몬에이드 #아이스크림"
10	올래국수	제주특별자치도 제주시 귀아랑길 24 (연동)	"#고기국수 #한식 #향토음식
#음식"
11	우유부단	제주특별자치도 제주시 한림읍 금악동길 38	"#카페 #디저트 #아이스크림
#우유 #음식 #눈꽃우유빙수 #밀크티"
12	델문도	제주특별자치도 제주시 조천읍 조함해안로 519-10	"#카페 #커피 #빙수
#음식 #아메리카노 #에스프레소 #카페라떼 #젤라또 #바닐라라떼 #카페모카"
13	스카이 온 파이브 다이닝	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 5층	"#스카이온파이브그릴 #스테이크 #와인
#레스토랑 #음식 #뷔페"
14	우진해장국	제주특별자치도 제주시 서사로 11	"#해장국 #고사리육개장 #사골해장국
#녹두빈대떡 #음식 #몸국"
15	춘심이네	제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16	"#무슬림 #갈치조림 #통갈치
#은갈치 #음식 #제주갈치조림 #제주갈치구이 #갈치구이"
16	테라로사	제주특별자치도 서귀포시 칠십리로658번길 27-16	"#커피 #빵 #카페
#원두 #음식 #아메리카노 #카페라떼 #카푸치노 #핸드드립커피 #에스프레소 #디저트"
17	마노르블랑	서귀포시 안덕면 일주서로2100번길 46	"#카페 #커피 #음료
#애프터눈티 #음식 #아메리카노 #바닐라라떼 #카페라떼 #녹차라떼 #돌체라떼 #딸기라떼 #디저트 #빵 #에이드 #주스 #과일주스"
18	가시아방	제주특별자치도 서귀포시 성산읍 섭지코지로 10	"#고기국수 #비빔국수 #향토음식
#음식"
19	카페콜라	제주특별자치도 제주시 한림읍 일주서로 5857	"#콜라 #체리콕 #고르곤졸라피자
#커피콕 #음식 #커피 #아메리카노 #카푸치노 #카페라떼 #카페모카"
20	키친오즈	제주시 한림읍 협재로 208	"#카페 #파스타 #음료
#애견동반 #핑크뮬리 #음식 #피자 #크림파스타 #빵 #디저트 #아메리카노"
21	돈사돈	제주특별자치도 제주시 우평로 19	"#근고기 #연탄구이 #목살
#오겹살 #흑돼지 #음식 #삼겹살"
22	구좌상회	제주특별자치도 제주시 구좌읍 월정1길 55	"#카페 #케이크 #음료
#음식 #디저트 #빵 #아메리카노"
23	애월더선셋	제주특별자치도 제주시 애월읍 일주서로 6111	"#카페 #커피 #브런치
#음식 #토스트 #아메리카노 #에이드 #과일주스"
24	지미스	제주특별자치도 제주시 우도면 우도해안길 1132	"#샤베트 #아이스크림 #우도땅콩아이스크림
#카페 #음식 #디저트 #우도"
25	수우동	제주특별자치도 제주시 한림읍 협재1길 11	"#돈까스 #우동 #일식
#음식 #돈가스 #감자고로케 #김치우동"
26	앤트러사이트	제주특별자치도 제주시 한림읍 한림로 564	"#카페 #커피 #아메리카노
#음식 #디저트 #빵 #쿠키 #과일주스"
27	우도왕자이야기	제주특별자치도 제주시 우도면 우도해안길 252	"#카페 #아이스크림 #한라봉아이스크림
#음식 #우도 #디저트"
28	명랑스낵	제주특별자치도 제주시 한림읍 한림로 585	"#떡볶이 #왕새우튀김 #흑돼지튀김
#생맥주 #짜장떡볶이 #음식"
29	바다다	제주특별자치도 서귀포시 대포로 148-15	"#음료 #칵테일 #버거
#음식 #레몬에이드 #커피 #쿠키"
30	최고집	제주특별자치도 서귀포시 김정문화로 71	"#항정상 #오겹살 #속풀이라면
#음식 #흑돼지 #라면"
31	운정이네	제주특별자치도 서귀포시 안덕면 일주서로 1524	"#갈치조림 #정식 #고등어구이
#갈치구이 #고등어조림 #음식 #제주갈치조림 #제주갈치구이 #생선구이정식 #생선조림 #전복뚝배기"
32	망고레이	제주특별자치도 제주시 우도면 우도로 1	"#망고음료 #음료 #카페
#음식 #우도 #아이스크림 #망고 #망고스무디 #망고에이드 #망고주스"
33	바보카페	제주특별자치도 제주시 구좌읍 해맞이해안로 1016	"#카페 #댕유차 #한라봉
#음식 #아메리카노 #카페라떼 #카페모카 #카푸치노 #카라멜마끼아또"
34	월정리로와	제주특별자치도 제주시 구좌읍 해맞이해안로 472	"#카페 #커피 #케이크
#음식 #아메리카노 #토스트 #스무디 #딸기스무디"
35	순옥이네 명가	제주 제주시 도공로 8	"#전복물회 #성게미역국 #해물뚝배기
#전복 #성게 #음식 #전복뚝배기"
36	카페마니	제주특별자치도 제주시 구좌읍 해맞이해안로 1112	"#카페 #커피 #아메리카노
#음식 #에스프레소 #카페라떼 #차 #에이드 #과일주스"
37	풍림다방	제주특별자치도 제주시 구좌읍 중산간동로 2267-4	"#브뤠베 #커피 #카페
#음식 #아메리카노 #에스프레소 #주스 #과일주스"
38	고래라면	제주특별자치도 서귀포시 성산읍 삼달로 104	"#라면 #국수 #비빔국수
#음식 #해물라면 #문어라면"
39	블랑로쉐	제주특별자치도 제주시 우도면 우도해안길 783	"#카페 #크림라떼 #케이크
#음료 #음식 #아이스크림 #아메리카노 #우도"
40	섬소나이	제주특별자치도 제주시 우도면 우도해안길 814	"#짬뽕 #피자 #땅콩아이스크림
#음식 #해물짬뽕 #크림파스타 #아이스크림"
41	요리하는 목수	제주특별자치도 제주시 애월읍 애월해안로 664	"#수제버거 #햄버거 #돈가스
#해물짬뽕 #음식"
42	고집돌우럭	제주특별자치도 제주시 임항로 30	"#우럭 #우럭조림 #우럭매운탕
#음식 #횔어우럭매운탕"
43	벵디	제주특별자치도 제주시 구좌읍 해맞이해안로 1108	"#덮밥 #톳밥 #돌문어
#음식 #물회 #문어물회 #돈까스 #치즈돈까스"
44	쉬림프박스	?????? ??????? ??????? 2033-7	"#커플 #혼자 #새우
#음식 #새우버터구이 #츄러스"
45	치치퐁	제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62	"#아이스크림 #토끼아이스크림 #카페
#음식 #디저트"
46	로뎀가든	제주특별자치도 제주시 우도면 우도해안길 264	"#흑돼지주물럭 #한라산볶음밥 #한치해물파전
#음식 #한치"
47	살롱드라방 SALON de LAVANT	제주특별자치도 제주시 애월읍 하가로 146-9	"#카페 #팬케이크 #브런치
#음식 #아메리카노 #에스프레소 #카페라떼 #케이크"
48	우도 풍원	제주특별자치도 제주시 우도면 우도해안길 340	"#돼지주물럭 #한라산볶음밥 #한치주물럭
#음식 #전복죽 #한치"
49	카페세바	제주특별자치도 제주시 조천읍 선흘동2길 20-7	"#카페 #곡물라떼 #보리빵
#자몽아이스티 #음식 #빵 #아메리카노 #카페라떼 #카페모카"
50	고집돌우럭	제주특별자치도 서귀포시 일주서로 879	"#우럭 #우럭조림 #우럭매운탕
#음식 #매운탕 #횔어우럭매운탕 #갈치구이 #생선구이정식"
51	국수의전설	제주특별자치도 서귀포시 효돈로 108	"#고기국수 #보말칼국수 #수육
#향토음식 #한식 #음식 #비빔국수 #돔베고기 #보말죽 #칼국수"
52	맛나식당	제주특별자치도 서귀포시 성산읍 동류암로 43	"#한식 #갈치조림 #고등어조림
#음식 #갈치 #제주갈치조림 #고등어 #고등어구이 #막걸리"
53	비어라운드	제주특별자치도 제주시 구좌읍 하도9길 72	"#카페 #커피 #주스
#케이크 #당근 #음식 #티라미수 #디저트 #빵 #아메리카노 #에스프레소 #카푸치노 #카페라떼"
54	산방식당	제주특별자치도 서귀포시 대정읍 하모이삼로 62	"#밀냉면 #비빔밀냉면 #수육
#한식 #향토음식 #음식 #냉면"
55	성산회관	제주특별자치도 서귀포시 성산읍 성산중앙로 8	"#볶음밥 #파스타 #전복밥
#퓨전 #음식 #크림파스타 #오일파스타 #커피 #전복"
56	피어22	제주특별자치도 제주시 한림읍 금능7길 22	"#해산물찜 #해산물 #딱새우
#음식 #전복죽 #감바스 #빵"
57	평대스낵	제주특별자치도 제주시 구좌읍 대수길 7	"#분식 #떡볶이 #튀김
#음식 #새우튀김"
