,쇼핑몰,주소,테마
0,서귀포매일올레시장,서귀포시 중앙로 62번길 18,"#쇼핑 #전통시장 #기념품
#상점/상가 #오일장 #관광기념품"
1,동문재래시장,제주특별자치도 제주시 관덕로14길 20,"#쇼핑 #전통시장 #기념품
#밤 #상점/상가 #관광기념품"
2,제주관광공사 중문면세점,제주특별자치도 서귀포시 중문관광로 224(중문동) 제주국제컨벤션센터 1F,"#쇼핑 #면세점 #기념품
#관광기념품 #상점/상가 #dutyfreeshop"
3,벨롱장,제주특별자치도 제주시 구좌읍 세화1길 20-8,"#쇼핑 #플리마켓 #기념품
#관광기념품 #상점/상가"
4,제주민속오일시장,제주특별자치도 제주시 오일장서길 26,"#쇼핑 #전통시장 #오일장
#상점/상가 #관광기념품"
5,동문수산시장,제주시 동문로 16,"##상설시장#제주시 #동문수산시장 #전통시장 #쇼핑
#상점/상가 #관광기념품"
6,샘스제주캔들,제주특별자치도 제주시 애월읍 애월로1길 26-2,"#기념품 #쇼핑 #관광기념품
#상점/상가"
7,소심한책방,제주특별자치도 제주시 구좌읍 종달동길 29-6,"#쇼핑 #서점 #기념품
#관광기념품 #상점/상가"
8,여름문구사,제주특별자치도 제주시 구좌읍 구좌로 77,"#기념품 #쇼핑 #관광기념품
#상점/상가"
9,서귀포향토오일시장,제주특별자치도 서귀포시 중산간동로7894번길 18-5,"#쇼핑 #전통시장 #상점/상가
#오일장 #관광기념품"
10,선물고팡,제주특별자치도 제주시 월성로 15,"#쇼핑 #기념품 #특산품
#관광기념품 #상점/상가"
11,산호상점,제주특별자치도 제주시 구좌읍 김녕로2길 20,"#쇼핑 #기념품 #관광기념품
#상점/상가"
12,탐라동주,제주특별자치도 서귀포시 중문관광로 224,"#쇼핑 #천연염색 #중문
#관광기념품 #상점/상가"
13,B일상잡화점,제주특별자치도 서귀포시 성산읍 오조로 93,"#쇼핑 #기념품 #관광기념품
#상점/상가"
14,나나이로 아코제주,제주특별자치도 제주시 구좌읍 구좌로 75-1,"#카페 #소품 #음료
#음식"
15,더아일랜더,제주특별자치도 제주시 중앙로7길 31 102호,"#쇼핑 #기념품 #관광기념품
#상점/상가"
16,성산-고성오일시장,제주특별자치도 서귀포시 성산읍 고성오조로 93,"#전통시장 #쇼핑 #상점/상가
#오일장 #관광기념품"
17,하나로마트 구좌농협 우도점,제주특별자치도 제주시 우도면 우도로 178,"#특산품 #쇼핑 #관광기념품
#상점/상가"
18,공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,"#공방 #월정 #공예품
#체험 #어트랙션"
19,그꽃,제주특별자치도 제주시 구좌읍 월정1길 55,"#꽃집 #쇼핑 #관광기념품
#상점/상가"
20,냠냠제주,제주특별자치도 제주시 조천읍 신촌9길 8,"#수제잼 #마멀레이드 #당근잼
#양파잼 #음식"
21,달리센트,제주특별자치도 제주시 구좌읍 종달리 1991,"#쇼핑 #기념품 #관광기념품
#상점/상가"
22,돌코롱,제주특별자치도 서귀포시 대정읍 마라로 41,"#특산품 #쇼핑 #관광기념품
#상점/상가"
23,라이킷,제주특별자치도 제주시 칠성로길 42-2 1층,"#서점 #책 #첵방
#소품샵 #쇼핑 #관광기념품 #상점/상가"
24,모이소,제주특별자치도 제주시 신광로8길 14,"#쇼핑 #소품 #기념품
#원데이클래스 #관광기념품 #상점/상가"
25,베리제주,제주특별자치도 제주시 애월읍 고내로7길 45-14,"#쇼핑 #기념품 #관광기념품
#상점/상가"
26,뷰티풀제주,제주특별자치도 제주시 용마로4길 5-3,"#쇼핑 #기념품 #공방
#관광기념품 #상점/상가"
27,삼다닷컴,제주시 연삼로 295-1,"#특산품 #갈치 #오메기떡
#쇼핑 #관광기념품 #상점/상가"
28,세화해녀민속오일시장,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,"#전통시장 #쇼핑 #상점/상가
#오일장 #관광기념품"
29,수목원테마공원,제주특별자치도 제주시 은수길 69,"#수목원 #야시장 #공원
#실내관광지 #체험 #도보여행 #도보 #전통시장 #쇼핑 #상점/상가 #어트랙션"
30,우도아이,제주특별자치도 제주시 우도면 우도해안길 814,"#기념품 #쇼핑 #관광기념품
#상점/상가"
31,자연이야기,제주특별자치도 제주시 월랑로 6 21 (노형동),"#공방 #쇼핑 #관광기념품
#상점/상가"
32,제주민속식품,제주특별자치도 제주시 구좌읍 번영로 2178,"#특산품 #체험관광 #6차산업
#쇼핑 #관광기념품 #상점/상가"
33,제주칠성로상가,제주특별자치도 제주시 관덕로13길 12,"#쇼핑 #기념품 #관광기념품
#상점/상가"
